,id,x,y,CRI_v2.0.r1,all,MCM_v3.2,MCM_v3.1,MCM_v3.3.1,CRI_v2.0.r2,CRI_v2.0.r3,CRI_v2.0.r4,CRI_v2.0.r5,CRI_v2.2,rxns
4322,EIPKAO2,0.5794454128000308,-0.34990248041047123,False,True,True,True,True,False,False,False,False,False,False
4323,C920O2,-0.040224457101975974,-0.5457356520116161,False,True,True,True,True,False,False,False,False,False,False
4324,RA25NO3,0.15700017099059305,0.1423948424100545,True,True,False,False,False,True,False,False,False,True,False
4325,TM123BCO2H,-0.27759826913803687,0.8566883233922102,False,True,True,True,True,False,False,False,False,False,False
4326,HEX2ONANO3,0.40292179669767814,-0.2076254800839179,False,True,True,True,True,False,False,False,False,False,False
4327,RTN28O2,0.4352714011612211,-0.6665916754128649,True,True,False,False,False,True,True,True,True,True,False
4328,RTN28OOH,0.4457042704683749,-0.6899950234248862,True,True,False,False,False,True,True,True,True,True,False
4329,H13C43CO3,0.17350406505992555,-0.33560473114868994,False,True,True,True,True,False,False,False,False,False,False
4330,C614OOH,-0.05739848308155937,-0.46669874217922,False,True,True,True,True,False,False,False,False,False,False
4331,HO8C9CO3H,0.5284923267320865,0.031731920992452256,False,True,True,True,True,False,False,False,False,False,False
4332,PXYMUCNO3,-0.1431891821532082,0.4769964622446152,False,True,True,True,True,False,False,False,False,False,False
4333,C5ONO34OOH,0.1313265724296664,0.05066266991987689,False,True,True,True,True,False,False,False,False,False,False
4334,EIPKAOH,0.5888107040458155,-0.35959964434824143,False,True,True,True,True,False,False,False,False,False,False
4335,C735OOA,-0.19010360572726537,-0.3122884889111359,False,True,True,False,True,False,False,False,False,False,False
4336,IEPOXC,-0.4878550273865404,-0.0667474065056688,False,True,True,False,True,False,False,False,False,False,False
4337,MIPKBNO3,0.2782828386797722,-0.20783167783447998,False,True,True,True,True,False,False,False,False,False,False
4338,EPXMEDCO3H,0.06700031613309831,0.38977395747684485,False,True,True,True,True,False,False,False,False,False,False
4339,NPRACBNO3,0.5828122852317383,-0.09683878062881646,False,True,True,True,True,False,False,False,False,False,False
4340,TLFUO2,0.16643741186279182,0.24314335336501447,False,True,True,True,True,False,False,False,False,False,False
4341,PEBQO2,-0.1710187396322136,0.14338408060694086,False,True,True,True,True,False,False,False,False,False,False
4342,ACCOMCOMO2,0.20472954660199139,-0.2091437750276749,False,True,True,True,True,False,False,False,False,False,False
4343,HM22C3NO3,0.21963903579347188,-0.6649220398829954,False,True,True,True,True,False,False,False,False,False,False
4344,C4COMOH3O,0.2693041845162554,-0.16601564687365988,False,True,True,True,True,False,False,False,False,False,False
4345,OET1O2,-0.010039509987336825,0.762371110609604,False,True,True,True,True,False,False,False,False,False,False
4346,C134CO,-0.09758196633861949,-0.35038529803685436,False,True,True,False,True,False,False,False,False,False,False
4347,EPXMKTPAN,0.03803231331883716,0.18682620387807414,False,True,True,True,True,False,False,False,False,False,False
4348,C520O,-0.1504843422751717,-0.13201830287470528,False,True,True,False,True,False,False,False,False,False,False
4349,C1212NO3,-0.3992734287615429,-0.8287846991159453,False,True,True,False,True,False,False,False,False,False,False
4350,OXYCATECH,-0.2593032009011095,0.7134958906811621,False,True,True,True,True,False,False,False,False,False,False
4351,CHCL2CH2O,0.44286087963644283,0.13902561536096725,False,True,True,True,True,False,False,False,False,False,False
4352,CHCL2CH2O2,0.4527574589514154,0.1420522613516022,False,True,True,True,True,False,False,False,False,False,False
4353,C717OOH,-0.010078942777364874,-0.7319928785401404,False,True,True,True,True,False,False,False,False,False,False
4354,H3C25CCO3H,-0.2641358680727487,-0.47465057267212873,False,True,True,True,True,False,False,False,False,False,False
4355,EMPOHNO2O2,-0.3110419213768254,0.11802682591301905,False,True,True,True,True,False,False,False,False,False,False
4356,OCCOHCO,-0.30925247619764096,-0.1059413561581859,False,True,True,False,True,False,False,False,False,False,False
4357,RN27AO2,0.797406043213492,-0.1613953008167951,True,True,False,False,False,True,True,False,False,True,False
4358,BCKBNO3,-0.34191004587948814,-0.5077496620922277,False,True,True,False,True,False,False,False,False,False,False
4359,C7DCOH,-0.18777490698880817,0.03474958985396026,False,True,True,True,True,False,False,False,False,False,False
4360,BOX2EOHAO,0.6126080755092607,-0.3098803256844441,False,True,True,True,True,False,False,False,False,False,False
4361,C2H5CHOOA,0.24240050322236595,-0.11401292498048654,False,True,True,True,True,False,False,False,False,False,False
4362,CARB23,0.6445323430412468,-0.17596522558493122,True,True,False,False,False,True,True,False,False,True,False
4363,RN25OOH,0.7423692339754433,-0.16379996848751455,True,True,False,False,False,True,True,False,False,True,False
4364,MTCATEC1O,-0.177659934463822,0.8053821935729653,False,True,True,True,True,False,False,False,False,False,False
4365,M2PEBO2,0.4957535842247791,-0.488699973109355,False,True,True,True,True,False,False,False,False,False,False
4366,M2PEBOOH,0.48445406670506674,-0.5160509791275325,False,True,True,True,True,False,False,False,False,False,False
4367,MBOOOA,0.0386792806876215,-0.4880580669438743,False,True,True,True,True,False,False,False,False,False,False
4368,LIMCO2,-0.957454062252488,-0.5082197598171864,False,True,True,False,True,False,False,False,False,False,False
4369,LIMCOOH,-0.9686161569976989,-0.516199129380063,False,True,True,False,True,False,False,False,False,False,False
4370,C823O,-0.726842759028341,-0.31114372540486723,False,True,True,False,True,False,False,False,False,False,False
4371,C84O2,0.603838042012568,0.08390956431830943,False,True,True,True,True,False,False,False,False,False,False
4372,C7ADCOOH,-0.032410280969868865,0.29722157922575754,False,True,True,True,True,False,False,False,False,False,False
4373,BOXPROLBO,0.3976236904719843,-0.11928998256040746,False,True,True,True,True,False,False,False,False,False,False
4374,CH2CLCH2CL,0.3214373774565007,0.20299848818930566,False,True,True,True,True,False,False,False,False,False,False
4375,NC101CO,0.21085724922338622,-0.9094124390954442,False,True,True,True,True,False,False,False,False,False,False
4376,C23O3CCO3,0.20085518137637748,0.11332895613120764,False,True,True,True,True,False,False,False,False,False,False
4377,C23O3CPAN,0.057725843039425184,-0.043596913837024354,False,True,True,True,True,False,False,False,False,False,False
4378,C615O,-0.06368130747838374,-0.387619059779276,False,True,True,True,True,False,False,False,False,False,False
4379,PXYBPEROOH,-0.16268383006669218,0.43562758622889897,False,True,True,True,True,False,False,False,False,False,False
4380,PHCOMEO,-0.6716968616084715,0.4284020883481676,False,True,True,True,True,False,False,False,False,False,False
4381,PHCOMEO2,-0.6660222811671701,0.42447237078929767,False,True,True,True,True,False,False,False,False,False,False
4382,CH3SO2O2,0.11390874896470304,-0.7572581383769625,False,True,True,False,True,False,False,False,False,False,False
4383,C826OOH,-0.2913591086376618,-0.40175410202837325,False,True,True,False,True,False,False,False,False,False,False
4384,NSTYRENO2,-0.3903436373139755,0.22611695736670923,False,True,True,True,True,False,False,False,False,False,False
4385,MC3CODBPAN,-0.26148242020675116,0.39933201734605084,False,True,True,True,True,False,False,False,False,False,False
4386,APINBO2,0.24702275713050148,-0.865613164194737,False,True,True,True,True,False,False,False,False,False,False
4387,MMCFNO3,-0.9871129646432278,-0.4990537795153417,False,True,True,True,True,False,False,False,False,False,False
4388,C3NO3COO,-0.07433435391837628,-0.26479831570827095,False,True,True,True,True,False,False,False,False,False,False
4389,CY6DIONOH,-0.1983977048054718,-0.512797308446761,False,True,True,True,True,False,False,False,False,False,False
4390,MALNHYOHCO,-0.3837407230953357,0.293763658140896,False,True,True,True,True,False,False,False,False,False,False
4391,C2CL2OH2,0.2601789132920409,0.06814939928884423,False,True,True,True,True,False,False,False,False,False,False
4392,LIMALNO3,-0.8425126185795475,-0.45885987159266417,False,True,True,False,True,False,False,False,False,False,False
4393,LMLKET,-0.815333961628832,-0.4450715675033533,False,True,True,False,True,False,False,False,False,False,False
4394,C512O,-0.08717720754956138,-0.49456140312473007,False,True,True,True,True,False,False,False,False,False,False
4395,BCSOZO,-0.10182093705504935,-0.3693183810178521,False,True,True,False,True,False,False,False,False,False,False
4396,TM124MUCO3,-0.1954660864127591,0.3267223452614496,False,True,True,True,True,False,False,False,False,False,False
4397,OXYQOOH,-0.09302426759559412,0.24773088732437176,False,True,True,True,True,False,False,False,False,False,False
4398,C6COHOCHO,-0.048990530983906044,-0.5910908567435741,False,True,True,True,True,False,False,False,False,False,False
4399,C1012OOH,-0.2364254459908257,-0.6950368001180671,False,True,True,False,True,False,False,False,False,False,False
4400,C927OOH,-0.22365479931041699,-0.7145004590524033,False,True,True,False,True,False,False,False,False,False,False
4401,CH2CLOH,0.23365760443509243,0.022081811022275133,False,True,True,True,True,False,False,False,False,False,False
4402,CO1M22PAN,-0.017491416786881486,-0.5665866779141346,False,True,True,True,True,False,False,False,False,False,False
4403,C624CO2H,-0.2925114736307005,-0.27863109111418005,False,True,True,False,True,False,False,False,False,False,False
4404,NOPINCNO3,-0.08279759172153411,-0.8477751528575482,False,True,True,True,True,False,False,False,False,False,False
