,id,x,y,z,rxns,all,MCM_v3.3.1,MCM_v3.1,MCM_v3.2,CRI_v2.0.r5,CRI_v2.0.r4,CRI_v2.0.r1,CRI_v2.0.r3,CRI_v2.0.r2,CRI_v2.2
136,BCBOOA,0.14896338356767558,0.5081275647995511,-0.4889060898607438,False,True,True,False,True,False,False,False,False,False,False
137,BCBOOH,0.5733239273619248,0.6044552979551754,0.39032110869819703,False,True,True,False,True,False,False,False,False,False,False
138,BCCNO3,0.030228210075916362,0.7438751709866367,0.12783618941136843,False,True,True,False,True,False,False,False,False,False,False
139,BCCO,0.03201073387325448,0.6665015257269127,0.15425640437573618,False,True,True,False,True,False,False,False,False,False,False
140,BCCO2,0.02594157692954968,0.669066325277963,0.15513078711169404,False,True,True,False,True,False,False,False,False,False,False
141,BCCOH,0.03294487593569806,0.7388332573392726,0.1198621055422966,False,True,True,False,True,False,False,False,False,False,False
142,BCCOOH,0.023093504116265207,0.6621874013538638,0.1561327437222424,False,True,True,False,True,False,False,False,False,False,False
143,BCKANO3,0.2757461955381577,0.9307679492125849,0.20265946137067847,False,True,True,False,True,False,False,False,False,False,False
144,BCKAO,0.2718689987942835,0.9256997299287995,0.1927760696257117,False,True,True,False,True,False,False,False,False,False,False
145,BCKAO2,0.26918276401847074,0.9278918662972186,0.18885185901892343,False,True,True,False,True,False,False,False,False,False,False
146,BCKAOH,0.01872295495046883,0.9915252007996913,0.18476615039860866,False,True,True,False,True,False,False,False,False,False,False
147,BCKAOO,0.21376776011084297,0.7645470169408299,0.4104175774820167,False,True,True,False,True,False,False,False,False,False,False
148,BCKAOOH,0.2687691779227097,0.9207761916453301,0.18877875488854,False,True,True,False,True,False,False,False,False,False,False
149,BCKBCO,0.028749997118268533,0.9870093998807479,0.18288694422345975,False,True,True,False,True,False,False,False,False,False,False
150,BCKBNO3,0.025772822736630507,0.9946950299884258,0.1776019456210387,False,True,True,False,True,False,False,False,False,False,False
151,BCKBO,0.03169028533751983,0.9965364245378978,0.18995176560809024,False,True,True,False,True,False,False,False,False,False,False
152,BCKBO2,0.027090119810866176,1.0,0.18594728379931236,False,True,True,False,True,False,False,False,False,False,False
153,BCKBOO,0.033201234764285825,0.8151239872329981,0.086960468822044,False,True,True,False,True,False,False,False,False,False,False
154,BCKBOOH,0.029013272102303755,0.9856415067868542,0.1947116567641627,False,True,True,False,True,False,False,False,False,False,False
155,BCKET,0.036145672676805685,0.8160315316895235,0.09129081348651757,False,True,True,False,True,False,False,False,False,False,False
156,BCKOOA,0.24812952575922087,0.5594638911297396,-0.2522560746904423,False,True,True,False,True,False,False,False,False,False,False
157,BCKOOB,0.3283500127948875,0.5817579179965628,0.10013784667722603,False,True,True,False,True,False,False,False,False,False,False
158,BCKSOZ,0.29202129253723763,0.7662919574900919,0.4934074886342188,False,True,True,False,True,False,False,False,False,False,False
